ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"102.39.1.222","elite","AS11845","ZA","Vox Telecom","299","Vox Telecom (Pty) Ltd","5678","socks4","43","600","2021-08-31T11:00:23.412Z","100","1","1"
"177.128.115.238","elite","AS269988","CL","Binet Networking Data Limitada","156","Binet Networking Data Limitada","4153","socks4","47","N/A","2021-08-31T11:00:23.071Z",,,
"177.101.97.234","elite","AS28343","BR","Unifique TelecomunicaÔÔes SA","196","Unifique Telecomunicações SA","5678","socks4","64","425","2021-08-31T11:00:22.949Z","100","1","1"
"102.165.220.141","elite","AS37315","ZA","Cipherwave","291","Home Connect","5678","socks4","86","333","2021-08-31T11:00:22.858Z","100","1","1"
"138.204.132.109","elite","AS263888","BR","FIUZA INFORMÔTICA & TELECOMUNICAÔÔO LTDA ME","216","FIUZA INFORMÁTICA & TELECOMUNICAÇÃO LTDA ME","5678","socks4","45","1","2021-08-31T11:00:22.948Z","100","1","1"
"213.226.11.149","elite","AS8717","BG","Mobiltel EAD","188","N/A","59086","socks4","51","400","2021-08-31T11:00:22.943Z","100","1","1"
"217.24.175.211","elite","AS6703","UA","PRIVATE JOINT-STOCK COMPANY \"FARLEP-INVEST\"","190","ALKAR","5678","socks4","51","1","2021-08-31T11:00:22.946Z","100","1","1"
"92.52.171.131","elite","AS202103","UA","Lanet Network","191","Lanet Network Ltd","5678","socks4","102","193","2021-08-31T11:00:22.796Z","100","1","1"
"190.15.134.211","elite","AS61468","EC","CEDIA","147","CEDIA","5678","socks4","94","341","2021-08-31T11:00:22.881Z","100","1","1"
"103.8.58.52","elite","AS45707","ID","PT Prime Link Communication","190","N/A","5678","socks4","52","402","2021-08-31T11:00:11.666Z",,,
"177.135.31.17","elite","AS18881","BR","TELEFÔNICA BRASIL S.A","N/A","Global Village Telecom","5678","socks4","61","5001","2021-08-31T11:00:10.075Z",,,
"202.166.161.10","elite","AS55501","PK","CONNECTEL","283","N/A","5678","socks4","39","N/A","2021-08-31T11:00:05.107Z",,,
"201.182.67.38","elite","AS267501","BR","Equatorial TelecomunicaÔÔes LTDA","187","Equatorial Telecomunicações LTDA","5678","socks4","35","5009","2021-08-31T11:00:05.143Z",,,
"109.108.83.16","elite","AS34056","UA","ISP KievNet","184","N/A","5678","socks4","34","5001","2021-08-31T11:00:04.090Z",,,
"202.51.191.78","elite","AS38203","BD","ADN Telecom Limited","233","N/A","5678","socks4","60","482","2021-08-31T11:00:02.809Z",,,
"202.62.44.225","elite","AS23673","KH","COGETEL Co., Ltd","N/A","COGETEL","5678","socks4","44","N/A","2021-08-31T11:00:01.458Z",,,
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9186","socks4","52","N/A","2021-06-29T13:03:50.265Z","96","53","55"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9375","socks4","42","N/A","2021-06-29T13:03:44.423Z","100","31","31"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9230","socks4","39","N/A","2021-06-29T13:03:39.647Z","97","64","66"
"213.136.89.190","elite","AS51167","DE","Contabo GmbH","213","Contabo GmbH","56844","socks4","36","450","2021-06-29T13:03:10.551Z","91","68","75"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9132","socks4","77","N/A","2021-06-29T13:02:38.174Z","100","25","25"
"31.25.243.40","elite","AS39741","RU","DATAEKB","189","N/A","9287","socks4","61","N/A","2021-06-29T13:02:26.239Z","96","49","51"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9425","socks4","36","N/A","2021-06-29T13:02:11.106Z","97","58","60"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9138","socks4","36","N/A","2021-06-29T13:01:54.595Z","96","49","51"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9400","socks4","44","N/A","2021-06-29T13:01:50.227Z","100","31","31"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9448","socks4","37","N/A","2021-06-29T13:01:46.342Z","97","58","60"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9252","socks4","55","N/A","2021-06-29T13:01:36.387Z","100","23","23"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9333","socks4","54","N/A","2021-06-29T13:01:24.619Z","97","63","65"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9131","socks4","45","N/A","2021-06-29T13:01:18.922Z","100","25","25"
"173.244.200.154","elite","AS32780","US","Hosting Services, Inc.","76","Hosting Services, Inc.","44302","socks4","69","163","2021-06-29T13:01:16.017Z","100","43","43"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9384","socks4","112","N/A","2021-06-29T13:01:13.268Z","97","63","65"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9640","socks4","49","N/A","2021-06-29T13:01:11.547Z","96","53","55"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9171","socks4","52","N/A","2021-06-29T13:01:09.821Z","97","59","61"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9128","socks4","39","N/A","2021-06-29T13:01:06.023Z","100","33","33"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9281","socks4","46","N/A","2021-06-29T13:00:32.450Z","95","41","43"
"173.244.200.154","elite","AS32780","US","Hosting Services, Inc.","76","Hosting Services, Inc.","45483","socks4","40","166","2021-06-29T13:00:30.648Z","100","43","43"
"31.25.243.40","elite","AS39741","RU","DATAEKB","188","N/A","9237","socks4","38","N/A","2021-06-29T13:00:26.728Z","97","59","61"
"173.244.200.156","elite","AS32780","US","Hosting Services, Inc.","76","Hosting Services, Inc.","64631","socks4","51","157","2021-06-29T13:00:18.742Z","100","29","29"
