ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"185.145.145.5","elite","AS203084","HU","Mikrotti Kft","176","Mikrotti Kft","4153","socks4","36","N/A","2021-08-31T11:19:27.171Z"
"109.251.151.50","elite","AS31148","UA","O3 core","187","N/A","3629","socks4","39","396","2021-08-31T11:19:27.196Z"
"218.19.140.51","elite","AS4134","CN","Chinanet","166","Guangzhou Dxkxjs ACA","5678","socks4","35","N/A","2021-08-31T11:19:27.950Z"
"5.154.24.229","elite","AS29119","ES","Airenetworks","246","Aire Networks Del Mediterraneo SL Unipersonal","5678","socks4","35","5001","2021-08-31T11:19:26.117Z"
"187.190.254.110","elite","AS22884","MX","Total Play Telecomunicaciones SA De CV","N/A","Total Play Telecomunicaciones SA De CV","5678","socks4","39","209","2021-08-31T11:19:26.834Z"
"185.134.71.94","elite","AS203462","IT","Novaconn SRL","175","NovaConn srl","5678","socks4","35","5007","2021-08-31T11:19:25.346Z"
"80.90.90.14","elite","AS35444","AL","DIGICOM","195","N/A","5678","socks4","40","N/A","2021-08-31T11:19:25.357Z"
"81.163.36.210","elite","AS57227","RU","SUBNET05","277","LLC","42967","socks4","34","N/A","2021-08-31T11:19:22.865Z"
"78.40.106.176","elite","AS49628","GE","TrialetiNet","225","Trialeti-Neti LLC","5678","socks4","37","481","2021-08-31T11:19:20.700Z"
"61.95.191.190","elite","AS9498","IN","Bharti Airtel","270","Bharti Airtel Ltd","5678","socks4","36","5001","2021-08-31T11:19:20.334Z"
"80.242.39.90","elite","AS44234","SK","Gaya, s.r.o.","173","Gaya MT","5678","socks4","34","N/A","2021-08-31T11:19:19.407Z"
"185.163.244.182","elite","AS49188","BG","FIBER.BG","214","N/A","5678","socks4","34","N/A","2021-08-31T11:19:19.715Z"
"177.11.17.164","elite","AS262869","BR","G1Telecom Provedor de Internet LTDA ME","210","G1Telecom Provedor de Internet LTDA ME","5678","socks4","35","N/A","2021-08-31T11:19:18.761Z"
"41.190.235.10","elite","AS37638","CD","Orioncom SPRL","337","N/A","5678","socks4","35","N/A","2021-08-31T11:19:18.607Z"
"177.170.60.125","elite","AS26599","BR","Vivo","198","TELEF�NICA BRASIL S.A","5678","socks4","48","N/A","2021-08-31T11:19:17.824Z"
"177.11.84.53","elite","AS52939","BR","Minas Turbo Provedor de Internet","183","Minas Turbo Provedor de Internet","5678","socks4","35","N/A","2021-08-31T11:19:16.915Z"
"41.184.93.134","elite","AS29091","NG","ipNX Nigeria Limited","273","ipNX NIGERIA LIMITED","5678","socks4","36","519","2021-08-31T11:19:15.816Z"
"217.73.135.28","elite","AS21183","AL","Vodafone Albania Sh.A.","233","Abcom Pppoe Business","5678","socks4","37","N/A","2021-08-31T11:19:14.424Z"
"177.154.175.191","elite","AS262288","BR","Go In Tecnologia","189","Go In Tecnologia","5678","socks4","35","5001","2021-08-31T11:19:14.454Z"
"179.43.98.163","elite","AS263189","PE","GLG PERU SAC","178","GLG PERU SAC","5678","socks4","34","N/A","2021-08-31T11:19:14.522Z"
"179.95.237.34","elite","AS18881","BR","Vivo","221","TELEF�NICA BRASIL S.A","5678","socks4","35","N/A","2021-08-31T11:19:13.727Z"
"41.190.233.61","elite","AS37638","CD","Orioncom SPRL","276","N/A","36926","socks4","35","560","2021-08-31T11:19:12.926Z"
"178.94.175.66","elite","AS6849","UA","UKRTELECOM","193","JSC Ukrtelecom","5678","socks4","47","388","2021-08-31T11:19:12.712Z"
"181.114.110.138","elite","AS27882","BO","Telefónica Celular de Bolivia S.A.","N/A","Telefónica Celular de Bolivia S.A","5678","socks4","36","516","2021-08-31T11:19:11.640Z"
"213.91.85.144","elite","AS198252","BA","ELTA KABEL d.o.o.","184","ELTA KABEL d.o.o","5678","socks4","57","5002","2021-08-31T11:19:11.835Z"
"41.184.93.130","elite","AS29091","NG","ipNX Nigeria Limited","255","ipNX NIGERIA LIMITED","5678","socks4","35","549","2021-08-31T11:19:09.992Z"
"177.136.179.96","elite","AS263595","BR","ALB Internet & Informatica Ltda - ME","187","ALB Internet & Informatica Ltda - ME","5678","socks4","35","5001","2021-08-31T11:19:08.779Z"
"41.60.216.245","elite","AS30844","MZ","Maintainer Liquid Telecommunications Operations Limited","1349","N/A","5678","socks4","35","5002","2021-08-31T11:19:07.088Z"
"217.18.239.114","elite","AS29680","ES","VozTelecom network","162","VozTelecom Sistemas, S.L.","5678","socks4","34","5003","2021-08-31T11:19:06.134Z"
"177.105.68.197","elite","AS262637","BR","Netprimus Tecnologia Ltda","148","Netprimus Tecnologia Ltda","4153","socks4","36","N/A","2021-08-31T11:19:01.493Z"
"212.98.235.50","elite","AS15924","TR","Borusan Telekom","194","N/A","4153","socks4","35","951","2021-08-31T11:19:00.545Z"
"177.136.182.115","elite","AS263595","BR","ALB Internet & Informatica Ltda - ME","188","ALB Internet & Informatica Ltda - ME","5678","socks4","34","5001","2021-08-31T11:18:59.101Z"
"181.129.134.138","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","N/A","EPM Telecomunicaciones S.A. E.S.P","5678","socks4","35","5002","2021-08-31T11:18:59.027Z"
"221.224.136.211","elite","AS4134","CN","CHINANET jiangsu province network","157","N/A","5678","socks4","36","N/A","2021-08-31T11:18:58.925Z"
"190.71.23.194","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P","120","IE ACP SOLUCIONES BPO SAS","5678","socks4","35","249","2021-08-31T11:18:58.224Z"
"41.184.88.136","elite","AS29091","NG","ipNX Nigeria Limited","247","ipNX NIGERIA LIMITED","5678","socks4","35","5001","2021-08-31T11:18:58.644Z"
"190.7.235.30","elite","AS27881","AR","Ipnext S.A.","193","IPNEXT S.A. - Servers and Network Management IPs","5678","socks4","36","5001","2021-08-31T11:18:57.518Z"
"41.242.104.1","elite","AS37054","MG","Association iRENALA","356","N/A","5678","socks4","46","N/A","2021-08-31T11:18:52.483Z"
"177.136.182.117","elite","AS263595","BR","ALB Internet & Informatica Ltda - ME","188","ALB Internet & Informatica Ltda - ME","5678","socks4","36","5001","2021-08-31T11:18:51.814Z"
"190.64.177.70","elite","AS6057","UY","Administracion Nacional de Telecomunicaciones","209","Cliente Antel Uruguay","5678","socks4","37","410","2021-08-31T11:18:50.225Z"
"41.139.155.163","elite","AS37061","KE","Safaricom Limited","311","Converged services Nairobi","5678","socks4","37","632","2021-08-31T11:18:50.882Z"
"201.187.102.73","elite","AS14117","CL","Telefonica del Sur S.A.","195","Telefonica del Sur S.A","5678","socks4","34","N/A","2021-08-31T11:18:49.218Z"
"190.217.14.183","elite","AS269974","VE","Lan-online C.A","123","Level 3 Venezuela S.A","5678","socks4","35","267","2021-08-31T11:18:49.092Z"
"201.20.79.18","elite","AS28598","BR","Mob Servicos de Telecomunicacoes Ltda","135","Betânia Lácteos S/A","5678","socks4","35","N/A","2021-08-31T11:18:48.318Z"
"190.249.189.125","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","108","EPM Telecomunicaciones S.A. E.S.P","5678","socks4","35","5002","2021-08-31T11:18:48.350Z"
"201.159.16.170","elite","AS262913","MX","Konecta de Mexico, S. de R.L. de C.V.","53","Konecta de Mexico, S. de R.L. de C.V","5678","socks4","35","N/A","2021-08-31T11:18:47.676Z"
"201.168.211.51","elite","AS19332","MX","Marcatel Com, S.A. de C.V.","N/A","Marcatel Com, S.A. de C.V","5678","socks4","44","N/A","2021-08-31T11:18:47.388Z"
"14.0.17.239","elite","AS24088","VN","HTCITC","179","HTC International telecommunication joint stock company","5678","socks4","44","5001","2021-08-31T11:18:44.528Z"
"192.135.110.170","elite","AS14979","PR","Aeronet Wireless","103","Aeronet Wireless","5678","socks4","34","N/A","2021-08-31T11:18:41.918Z"
"181.113.113.10","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","132","Corporacion Nacional De Telecomunicaciones - CNT EP","5678","socks4","35","270","2021-08-31T11:18:41.931Z"
"180.104.63.91","elite","AS4134","CN","Chinanet","181","Chinanet JS","5678","socks4","35","5001","2021-08-31T11:18:41.170Z"
"190.210.4.17","elite","AS16814","AR","NSS S.A.","233","N/A","5678","socks4","42","5002","2021-08-31T11:18:41.399Z"
"14.176.197.183","elite","AS45899","VN","VNPT","172","Vietnam Posts and Telecommunications Group","5678","socks4","35","5001","2021-08-31T11:18:38.893Z"
"190.96.126.4","elite","AS262150","AR","Empresa Provincial de Energia de Cordoba","228","Empresa Provincial de Energia de Cordoba","5678","socks4","34","423","2021-08-31T11:18:35.604Z"
"201.191.4.30","elite","AS11830","CR","Instituto Costarricense de Electricidad y Telecom.","115","Alajuela DHCP","5678","socks4","35","5001","2021-08-31T11:18:35.209Z"
"94.176.199.142","elite","AS12593","UA","Ukrcom","187","Ukrcom Ltd","5678","socks4","35","373","2021-08-31T11:18:34.433Z"
"14.207.86.194","elite","AS45758","TH","Triple T Internet Company Limited","220","Triple T Internet Company Limited","5678","socks4","35","3214","2021-08-31T11:18:33.274Z"
"180.250.190.147","elite","AS7713","ID","PT. Telekomunikasi Indonesia","202","N/A","1080","socks4","37","436","2021-08-31T11:18:33.895Z"
"91.246.0.243","elite","AS59616","RU","Baikal Teleport CJSC","240","Baikal-Teleport CJSC","5678","socks4","34","N/A","2021-08-31T11:18:33.399Z"
"93.126.51.10","elite","AS44375","IR","Asmanfaraz Sepahan Isdp","N/A","Asmanfaraz Sepahan Isdp","5678","socks4","45","N/A","2021-08-31T11:18:32.333Z"
"168.197.77.124","elite","AS263656","BR","Brsulnet Telecom Ltda","195","Brsulnet Telecom Ltda","5678","socks4","39","3194","2021-08-31T11:18:31.154Z"
"77.104.103.238","elite","AS42337","IR","Respina","236","N/A","5678","socks4","36","N/A","2021-08-31T11:18:29.343Z"
"201.148.246.252","elite","AS61846","BR","Blankenburg ComunicaÔÔes Ltda","258","Blankenburg Comunicações Ltda","5678","socks4","34","N/A","2021-08-31T11:18:27.993Z"
"165.90.94.159","elite","AS37110","MZ","Moztel LDA","329","Moztel LDA","5678","socks4","35","5002","2021-08-31T11:18:27.270Z"
"201.46.100.199","elite","AS40311","BR","ViaSat, Inc.","994","RuralWeb Telecomunicações Ltda","5678","socks4","35","2060","2021-08-31T11:18:26.890Z"
"14.177.239.23","elite","AS45899","VN","VNPT","177","Vietnam Posts and Telecommunications Group","5678","socks4","35","5002","2021-08-31T11:18:26.767Z"
"201.217.129.253","elite","AS6057","UY","Administracion Nacional de Telecomunicaciones","206","Cliente Antel Uruguay","5678","socks4","40","5001","2021-08-31T11:18:21.739Z"
"143.202.136.55","elite","AS263196","AR","Infosport SA","N/A","Infosport SA","4153","socks4","35","5001","2021-08-31T11:18:21.144Z"
"92.247.31.37","elite","AS8717","BG","A1 Bulgaria EAD","192","Mobiltel EAD","4145","socks4","34","368","2021-08-31T11:18:21.408Z"
"91.213.119.246","elite","AS21228","UA","PP \"Vinasterisk\"","175","PP \"Vinasterisk\"","46024","socks4","35","N/A","2021-08-31T11:18:20.382Z"
"162.252.147.118","elite","AS63060","US","ALTIUS Broadband, LLC","93","Altius Broadband, LLC","5678","socks4","35","5001","2021-08-31T11:18:20.160Z"
"5.206.238.14","elite","AS206262","XK","TelKos L.L.C","190","TelKos Ferizaj","5678","socks4","45","N/A","2021-08-31T11:18:19.567Z"
"94.154.16.172","elite","AS197838","PL","Cheeloo J. Turczyn i Wspolnicy Sp. J.","178","Cheeloo J. Turczyn i Wspolnicy Sp. J.","5678","socks4","35","N/A","2021-08-31T11:18:18.693Z"
"185.89.91.186","elite","AS43905","IQ","ASL ALIRAQ TELECOM","1119","N/A","5678","socks4","35","N/A","2021-08-31T11:18:16.018Z"
"93.171.224.62","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","177","PE TV and Radio Company Kentavr-TV","4153","socks4","35","N/A","2021-08-31T11:18:16.854Z"
"49.205.182.145","elite","AS18209","IN","ACT Fibernet","274","Beam Telecom Pvt Ltd","5678","socks4","43","N/A","2021-08-31T11:18:14.400Z"
"5.133.30.76","elite","AS57704","PS","SpeedClick for Information Technology and Communication Ltd","212","JETNET for Communication and Information Technology Ltd.","5678","socks4","35","N/A","2021-08-31T11:18:13.190Z"
"168.181.63.246","elite","AS265330","BR","Ponto a Ponto Telecom do Brasil","201","Ponto a Ponto Telecom do Brasil","5678","socks4","34","N/A","2021-08-31T11:18:12.107Z"
"165.16.112.161","elite","AS37284","LY","Aljeel Aljadeed For Technology","186","Aljeel Aljadeed Technology","5678","socks4","44","N/A","2021-08-31T11:18:12.971Z"
"49.71.71.82","elite","AS4134","CN","Chinanet","152","Chinanet JS","1080","socks4","36","5002","2021-08-31T11:18:11.253Z"
"169.159.179.37","elite","AS328471","ZA","Herotel","354","Wireless Professionele Netwerke","5678","socks4","34","11643","2021-08-31T11:18:10.243Z"
"185.66.59.207","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","169","Svint","42647","socks4","38","N/A","2021-08-31T11:18:09.727Z"
"185.89.90.78","elite","AS60815","IQ","ASL ALIRAQ TELECOM","1034","N/A","5678","socks4","37","5002","2021-08-31T11:18:08.945Z"
"14.207.133.135","elite","AS45758","TH","Triple T Internet Company Limited","220","Triple T Internet Company Limited","5678","socks4","34","5001","2021-08-31T11:18:04.040Z"
"5.160.170.73","elite","AS42337","IR","Respina","271","Respina Networks & Beyond PJSC","5678","socks4","35","N/A","2021-08-31T11:18:04.686Z"
"92.113.221.113","elite","AS6849","UA","UKRTELECOM","224","JSC Ukrtelecom","5678","socks4","38","5001","2021-08-31T11:18:03.392Z"
"185.74.39.5","elite","AS207227","IT","Bootstrap Network","216","N/A","5678","socks4","35","5001","2021-08-31T11:18:00.810Z"
"105.235.198.34","elite","AS37269","NG","Information Connectivity Solutions Limited","265","N/A","5678","socks4","35","5001","2021-08-31T11:17:57.660Z"
"168.121.137.107","elite","AS265312","BR","Portal ConexÔo Ltda","171","Portal Conexão Ltda","4145","socks4","35","N/A","2021-08-31T11:17:56.151Z"
"139.5.132.245","elite","AS134552","BD","Geotel Bangladesh IT Ltd","257","Geotel Bangladesh IT Ltd","5678","socks4","41","N/A","2021-08-31T11:17:56.722Z"
"168.181.63.243","elite","AS265330","BR","Ponto a Ponto Telecom do Brasil","198","Ponto a Ponto Telecom do Brasil","5678","socks4","38","N/A","2021-08-31T11:17:55.341Z"
"115.124.76.18","elite","AS38511","ID","PT Remala Abadi","197","N/A","5678","socks4","34","N/A","2021-08-31T11:17:55.598Z"
"117.6.121.30","elite","AS7552","VN","Viettel Corporation","N/A","N/A","5678","socks4","38","5001","2021-08-31T11:17:53.473Z"
"186.108.47.46","elite","AS7303","AR","Telecom Argentina S.A.","198","Telecom Acceso","5678","socks4","44","5001","2021-08-31T11:17:53.501Z"
"114.86.199.135","elite","AS4812","CN","China Telecom (Group)","N/A","Chinanet SH","4145","socks4","34","5001","2021-08-31T11:17:53.672Z"
"105.209.152.32","elite","AS16637","ZA","MTN SA","277","MTN SA","5678","socks4","35","N/A","2021-08-31T11:17:51.772Z"
"5.160.39.219","elite","AS42337","IR","RSPN","320","N/A","3629","socks4","38","N/A","2021-08-31T11:17:50.567Z"
"105.213.126.4","elite","AS16637","ZA","MTN SA","N/A","MTN SA","5678","socks4","61","5001","2021-08-31T11:17:49.399Z"
"186.103.152.253","elite","AS15311","CL","Telefonica Empresas","182","Telefonica Empresas","5678","socks4","79","5006","2021-08-31T11:17:47.803Z"
"185.42.34.70","elite","AS35432","CY","Cablenet Communication Systems plc","204","Shared Business","5678","socks4","37","5005","2021-08-31T11:17:42.132Z"
"186.209.35.66","elite","AS53158","BR","Net Turbo Telecom","177","SOC. LOTEAMENTO COLINAS DO ATIBAIA","5678","socks4","35","N/A","2021-08-31T11:17:36.435Z"
"115.164.146.38","elite","AS4818","MY","DiGi Telecommunications Sdn Bhd., Digi Internet Exchange","190","DiGi Telecommunications Sdn Bhd","5678","socks4","35","3186","2021-08-31T11:17:36.579Z"
"119.15.88.118","elite","AS24492","KH","WiCAM Corporation Ltd","214","WiCAM Corporation, LTD","5678","socks4","44","446","2021-08-31T11:17:36.370Z"
"178.151.161.74","elite","AS13188","UA","Triolan","199","N/A","5678","socks4","35","417","2021-08-31T11:17:35.629Z"
"119.57.115.56","elite","AS63691","CN","Beijing wisdom network technology Co., Ltd. polymerization","175","Beijing Cloud-Ark Technology Co., Ltd.","30622","socks4","34","352","2021-08-31T11:17:35.170Z"
"177.85.16.90","elite","AS53043","BR","NET VALE LTDA","199","NET VALE LTDA","4153","socks4","43","N/A","2021-08-31T11:17:34.517Z"
"118.97.249.44","elite","AS7713","ID","PT. TELKOM INDONESIA","231","N/A","5678","socks4","44","5002","2021-08-31T11:17:33.220Z"
"115.74.237.142","elite","AS7552","VN","VIETELxdsl","183","xDSL Services","5678","socks4","34","5003","2021-08-31T11:17:32.684Z"
"109.207.112.140","elite","AS196740","UA","Teleradiocompany TeleLan LLC","168","Telelan Dynamic PPPoE","5678","socks4","46","5001","2021-08-31T11:17:32.278Z"
"177.67.6.225","elite","AS262509","BR","Conexao - Telecom. E Internet Ltda","184","Taba Veículos e Peças Ltda","5678","socks4","35","5001","2021-08-31T11:17:32.511Z"
"61.7.138.84","elite","AS131090","TH","CAT-BB","202","N/A","4145","socks4","34","5001","2021-08-31T11:17:26.658Z"
"178.18.73.196","elite","AS51653","SK","PRESNET s.r.o.","284","PRESNET s.r.o.","5678","socks4","34","N/A","2021-08-31T11:17:26.861Z"
"119.10.179.17","elite","AS24530","ID","PT. Power Telecom Indonesia","186","Powertel","5430","socks4","34","N/A","2021-08-31T11:17:26.420Z"
"114.69.240.182","elite","AS18002","IN","World Phone Internet Service Pvt. Ltd","273","N/A","5678","socks4","39","556","2021-08-31T11:17:25.405Z"
"118.179.60.210","elite","AS23956","BD","Dhakacom Limited","237","AmberIT Limited","5678","socks4","34","N/A","2021-08-31T11:17:23.954Z"
"178.169.134.71","elite","AS43205","BG","Bulsatcom EAD","207","Bulsatcom EAD","5678","socks4","38","5001","2021-08-31T11:17:23.885Z"
"103.18.163.194","elite","AS133076","AF","Router","284","N/A","5678","socks4","44","644","2021-08-31T11:17:22.177Z"
"119.42.73.5","elite","AS131090","TH","CAT-BB","207","N/A","5678","socks4","34","N/A","2021-08-31T11:17:22.892Z"
"114.69.232.53","elite","AS18002","IN","World Phone Internet Service Pvt. Ltd.","255","N/A","4145","socks4","34","N/A","2021-08-31T11:17:22.917Z"
"5.154.24.153","elite","AS29119","ES","Airenetworks","N/A","Aire Networks Del Mediterraneo SL Unipersonal","5678","socks4","44","5002","2021-08-31T11:17:21.162Z"
"103.232.230.12","elite","AS55427","NP","RO-230 BroadLink","287","N/A","3306","socks4","34","N/A","2021-08-31T11:17:20.489Z"
"114.7.97.193","elite","AS4761","ID","PT. INDOSAT Tbk","225","PT. INDOSAT Tbk","4145","socks4","35","N/A","2021-08-31T11:17:20.763Z"
"103.21.229.98","elite","AS131743","ID","PT GNET BIARO AKSES","251","N/A","5678","socks4","34","N/A","2021-08-31T11:17:19.257Z"
"103.100.214.10","elite","AS136639","IN","Scud Communication Pvt Ltd","256","Scud Communication Pvt Ltd","5678","socks4","34","512","2021-08-31T11:17:19.727Z"
"103.226.106.33","elite","AS137549","AU","NODE1 Pty Ltd","206","N/A","5678","socks4","34","5001","2021-08-31T11:17:18.144Z"
"177.92.9.14","elite","AS14868","BR","Copel Geração e Transmissão S.A","204","R. C. MONTANI - INFORMATICA - ME","4145","socks4","34","414","2021-08-31T11:17:18.176Z"
"103.105.52.170","elite","AS136873","ID","PT. Mega Artha Lintas Data","N/A","N/A","1080","socks4","35","181","2021-08-31T11:17:18.351Z"
