ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"185.43.249.132","elite","AS62206","UA","Pitline ltd","190","N/A","39316","socks4","47","1","2021-08-31T11:00:46.031Z","100","1","1"
"46.99.179.147","elite","AS21246","HR","IPKO Telecommunications LLC","185","Prizrenegation","5678","socks4","43","1","2021-08-31T11:00:46.344Z","100","1","1"
"45.112.57.10","elite","AS55352","IN","VOVINET Broadband Subscribers","236","N/A","5678","socks4","75","469","2021-08-31T11:00:45.435Z",,,
"202.4.107.69","elite","AS23956","BD","dhakaCom Limited","229","DhakaCom Limited","5678","socks4","48","483","2021-08-31T11:00:45.345Z","100","1","1"
"201.140.99.140","elite","AS18734","MX","Operbes","79","INDEX","1080","socks4","34","1","2021-08-31T11:00:45.968Z","100","1","1"
"202.138.252.209","elite","AS9657","ID","PT Melvar Lintasnusa","203","N/A","5678","socks4","43","1","2021-08-31T11:00:45.087Z","100","1","1"
"47.107.133.131","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","170","Aliyun Computing Co., LTD","6111","socks4","53","197","2021-08-31T11:00:45.569Z","100","1","1"
"102.90.9.158","elite","AS29465","NG","MTN NIGERIA Communication limited","N/A","N/A","5678","socks4","34","30072","2021-08-31T11:00:45.668Z","0","0","1"
"103.127.33.17","elite","AS133318","IN","Y - Net Broadband Services","260","Y - Net Broadband Services","5678","socks4","44","7676","2021-08-31T11:00:45.085Z","100","1","1"
"103.86.104.26","elite","AS137087","IN","Sb Networks","224","6061EWS3rd floor63 Expt house 4th phase707 group","5678","socks4","34","451","2021-08-31T11:00:45.176Z","100","1","1"
"79.143.225.152","elite","AS31558","RU","MTS PJSC","193","MTS Zheleznogorsk","31270","socks4","36","398","2021-08-31T11:00:45.877Z","100","1","1"
"103.83.188.252","elite","AS136210","MM","IT Spectrum Company Limited","221","N/A","5678","socks4","51","1","2021-08-31T11:00:45.463Z","100","1","1"
"92.241.102.242","elite","AS44265","RU","SMOLTELECOM","195","N/A","5678","socks4","46","910","2021-08-31T11:00:45.076Z","100","1","1"
"46.209.230.187","elite","AS42337","IR","Respina","233","N/A","4145","socks4","54","1672","2021-08-31T11:00:45.742Z","100","1","1"
"167.249.77.80","elite","AS265168","BR","M. S. Ferreira Alves","231","M. S. Ferreira Alves","5678","socks4","56","475","2021-08-31T11:00:45.909Z","100","1","1"
"45.224.152.137","elite","AS264668","EC","Nedetel S.A","142","Nedetel S.A","5678","socks4","37","N/A","2021-08-31T11:00:44.076Z",,,
"85.13.86.130","elite","AS25512","CZ","CD-Telematika","195","CD-Telematika a.s.","5678","socks4","69","340","2021-08-31T11:00:44.198Z","100","1","1"
"202.5.36.215","elite","AS45326","BD","BBTS-NEW","285","N/A","4145","socks4","34","1","2021-08-31T11:00:44.506Z","100","1","1"
"202.166.212.81","elite","AS17501","NP","WorldLink Communications","302","N/A","5678","socks4","34","1","2021-08-31T11:00:44.346Z","100","1","1"
"198.199.86.148","elite","AS9116","US","DigitalOcean, LLC","74","Digital Ocean","36404","socks4","35","153","2021-08-31T11:00:44.505Z","100","1","1"
"180.180.170.188","elite","AS23969","TH","TOT Public Company Limited","401","TOT Public Company Limited","3629","socks4","43","1153","2021-08-31T11:00:44.524Z","100","1","1"
"83.168.84.89","elite","AS31304","PL","ESPOL-FH","189","N/A","4153","socks4","35","380","2021-08-31T11:00:44.425Z","100","1","1"
"2.187.251.224","elite","AS58224","IR","Iran Telecommunication Company PJS","267","Tcaw DSL","5678","socks4","37","587","2021-08-31T11:00:44.377Z","100","1","1"
"105.112.141.155","elite","AS36873","NG","Airtel Networks Limited","239","ENTERPRISE","5678","socks4","34","1180","2021-08-31T11:00:44.801Z","100","1","1"
